id,name,terminalName,lastCommWithServer,lat,long,installed,installDate,removalDate,temporary,public,capacity
52,1st & M St NE,31603,1.36837E+12,38.9057,-77.0056,TRUE,1.28712E+12,,FALSE,TRUE,14
53,21st & M St NW,31212,1.36837E+12,38.9054,-77.0471,TRUE,1.28504E+12,,FALSE,TRUE,15
54,17th & K St NW [formerly 17th & L St NW],31213,1.36837E+12,38.90276,-77.03863,TRUE,1.30624E+12,,FALSE,TRUE,15
55,4th St & Massachusetts Ave NW,31604,1.36837E+12,38.9003,-77.016,TRUE,1.28703E+12,,FALSE,TRUE,14
56,3rd & D St SE,31605,1.36837E+12,38.8851,-77.0023,TRUE,1.2872E+12,,FALSE,TRUE,11
57,Potomac & Pennsylvania Ave SE,31606,1.36837E+12,38.8803,-76.9862,TRUE,1.28746E+12,,FALSE,TRUE,15
58,14th & D St SE,31607,1.36837E+12,38.884,-76.9861,TRUE,1.28737E+12,,FALSE,TRUE,15
59,17th & Corcoran St NW,31214,1.36837E+12,38.9121,-77.0387,TRUE,1.29408E+12,,FALSE,TRUE,19
60,Van Ness Metro / UDC,31300,1.36837E+12,38.944551,-77.063896,TRUE,1.28962E+12,,FALSE,TRUE,15
61,Florida Ave & R St NW,31503,1.36837E+12,38.9126,-77.0135,TRUE,1.29006E+12,,FALSE,TRUE,15
62,8th & Eye St SE / Barracks Row,31608,1.36837E+12,38.8792,-76.9953,TRUE,1.28737E+12,,FALSE,TRUE,11
63,Ward Circle / American University,31301,1.36837E+12,38.938736,-77.087171,TRUE,1.28954E+12,,FALSE,TRUE,15
64,Idaho Ave & Newark St NW [on 2nd District patio],31302,1.36837E+12,38.934751,-77.074647,TRUE,1.28997E+12,,FALSE,TRUE,15
65,14th St Heights / 14th & Crittenden St NW,31402,1.36837E+12,38.947774,-77.032818,TRUE,1.28997E+12,,FALSE,TRUE,11
66,Anacostia Library,31804,1.36837E+12,38.865784,-76.9784,TRUE,1.28858E+12,,FALSE,TRUE,11
67,Pennsylvania & Minnesota Ave SE,31805,1.36837E+12,38.873057,-76.971015,TRUE,1.28858E+12,,FALSE,TRUE,11
68,Eastern Market / 7th & North Carolina Ave SE,31610,1.36837E+12,38.886952,-76.996806,TRUE,1.28236E+12,,FALSE,TRUE,15
69,McPherson Square / 14th & H St NW,31216,1.36837E+12,38.899641,-77.032005,TRUE,1.28444E+12,,FALSE,TRUE,19
70,Benning Branch Library,31705,1.36837E+12,38.894,-76.947974,TRUE,1.28858E+12,,FALSE,TRUE,11
71,USDA / 12th & Independence Ave SW,31217,1.36837E+12,38.887237,-77.028226,TRUE,1.2863E+12,,FALSE,TRUE,39
72,Georgetown Harbor / 30th St NW,31215,1.36837E+12,38.9022212,-77.059219,TRUE,1.2863E+12,,FALSE,TRUE,19
73,12th & Newton St NE,31501,1.36837E+12,38.933668,-76.991016,TRUE,1.28631E+12,,FALSE,TRUE,11
74,US Dept of State / Virginia Ave & 21st St NW,31220,1.36837E+12,38.894919,-77.046587,TRUE,1.28666E+12,,FALSE,TRUE,15
75,L'Enfant Plaza / 7th & C St SW,31218,1.36837E+12,38.886266,-77.022241,TRUE,1.28641E+12,,FALSE,TRUE,15
76,10th St & Constitution Ave NW,31219,1.36837E+12,38.893028,-77.026013,TRUE,1.2865E+12,,FALSE,TRUE,30
77,Kennedy Center,31211,1.36837E+12,38.895184,-77.054845,TRUE,1.28633E+12,,FALSE,TRUE,11
78,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31613,1.36837E+12,38.884,-76.995397,TRUE,1.28641E+12,,FALSE,TRUE,18
